Date,Call_Max_Daily,Put_Max_Daily,equity_open,high_equity,low_equity,close_equity,Max,weekday,spy_direction_lag1,intraday_range_lag1,spy_direction_lag2,day_classification,d1,d2,d3,d4,d5,weekday_encoded
2023-01-03,1.0,10.88,385.29,385.4,377.831,380.84,10.88,Tuesday,,,,very_high,,,,,,3
2023-01-04,2.3636363636363638,1.4193548387096775,382.63,385.88,380.0,383.74,2.3636363636363638,Wednesday,-4.4500000000000455,7.56899999999996,,high,very_high,,,,,4
2023-01-05,1.411764705882353,1.0787545787545787,379.71,381.84,378.76,379.4,1.411764705882353,Thursday,1.1100000000000136,5.8799999999999955,-4.4500000000000455,low,high,very_high,,,,2
2023-01-06,13.225806451612902,1.0,380.21,389.25,379.4127,388.03,13.225806451612902,Friday,-0.3100000000000023,3.079999999999984,1.1100000000000136,very_high,low,high,very_high,,,0
2023-01-09,2.7906976744186047,1.7050691244239633,390.49,393.7,387.67,387.8657,2.7906976744186047,Monday,7.819999999999993,9.837300000000027,-0.3100000000000023,high,very_high,low,high,very_high,,1
2023-01-10,1.4805825242718444,1.59375,388.42,390.65,386.27,390.63,1.59375,Tuesday,-2.624300000000005,6.029999999999973,7.819999999999993,average,high,very_high,low,high,very_high,3
2023-01-11,1.46,1.5357142857142858,393.0,395.6,391.38,395.5,1.5357142857142858,Wednesday,2.2099999999999795,4.3799999999999955,-2.624300000000005,average,average,high,very_high,low,high,4
2023-01-12,2.956521739130435,1.0,393.36,398.485,392.42,396.94,2.956521739130435,Thursday,2.5,4.220000000000027,2.2099999999999795,high,average,average,high,very_high,low,2
2023-01-13,4.722222222222222,1.0,394.0,399.1,393.49,398.47,4.722222222222222,Friday,3.579999999999984,6.064999999999998,2.5,very_high,high,average,average,high,very_high,0
2023-01-17,1.611111111111111,1.319298245614035,398.36,400.23,397.06,397.76,1.611111111111111,Tuesday,4.470000000000027,5.610000000000014,3.579999999999984,average,very_high,high,average,average,high,3
2023-01-18,1.2477064220183487,13.193548387096774,398.92,400.12,391.28,391.54,13.193548387096774,Wednesday,-0.6000000000000227,3.170000000000016,4.470000000000027,very_high,average,very_high,high,average,average,4
2023-01-19,1.4688644688644688,1.565934065934066,389.17,391.08,387.26,388.68,1.565934065934066,Thursday,-7.3799999999999955,8.840000000000032,-0.6000000000000227,average,very_high,average,very_high,high,average,2
2023-01-20,10.82608695652174,1.0485074626865671,389.64,396.04,389.23,395.83,10.82608695652174,Friday,-0.4900000000000091,3.819999999999993,-7.3799999999999955,very_high,average,very_high,average,very_high,high,0
2023-01-23,11.290322580645162,1.1901408450704225,396.61,402.645,395.88,400.59,11.290322580645162,Monday,6.189999999999998,6.810000000000002,-0.4900000000000091,very_high,very_high,average,very_high,average,very_high,1
2023-01-24,1.569767441860465,1.1719457013574661,398.7,401.15,397.64,400.17,1.569767441860465,Tuesday,3.9799999999999613,6.764999999999986,6.189999999999998,average,very_high,very_high,average,very_high,average,3
2023-01-25,3.548387096774194,2.0416666666666665,396.09,400.7,393.56,400.36,3.548387096774194,Wednesday,1.4700000000000273,3.509999999999991,3.9799999999999613,high,average,very_high,very_high,average,very_high,4
2023-01-26,1.1926977687626776,2.018867924528302,402.65,404.92,400.03,404.71,2.018867924528302,Thursday,4.270000000000039,7.139999999999986,1.4700000000000273,high,high,average,very_high,very_high,average,2
2023-01-27,2.4761904761904763,1.1661016949152543,404.33,408.16,403.57,405.68,2.4761904761904763,Friday,2.0600000000000023,4.890000000000043,4.270000000000039,high,high,high,average,very_high,very_high,0
2023-01-30,1.335294117647059,2.173076923076923,403.63,405.13,400.28,400.63,2.173076923076923,Monday,1.3500000000000227,4.590000000000032,2.0600000000000023,high,high,high,high,average,very_high,1
2023-01-31,2.6056338028169015,1.1745098039215687,401.41,406.53,400.77,406.45,2.6056338028169015,Tuesday,-3.0,4.850000000000023,1.3500000000000227,high,high,high,high,high,average,3
2023-02-01,3.0840336134453783,1.3868974042027196,405.28,413.67,402.35,410.79,3.0840336134453783,Wednesday,5.039999999999964,5.759999999999991,-3.0,high,high,high,high,high,high,4
2023-02-02,4.48,1.3928571428571428,413.78,418.31,412.88,416.78,4.48,Thursday,5.510000000000048,11.319999999999993,5.039999999999964,very_high,high,high,high,high,high,2
2023-02-03,2.92,1.4100418410041842,413.5,416.97,411.09,412.36,2.92,Friday,3.0,5.430000000000007,5.510000000000048,high,very_high,high,high,high,high,0
2023-02-06,1.4608695652173913,1.2888888888888888,409.63,411.29,408.1,409.9,1.4608695652173913,Monday,-1.1399999999999864,5.880000000000052,3.0,low,high,very_high,high,high,high,1
2023-02-07,3.612903225806452,1.1818181818181817,409.4,416.49,407.57,415.18,3.612903225806452,Tuesday,0.2699999999999818,3.1899999999999977,-1.1399999999999864,high,low,high,very_high,high,high,3
2023-02-08,1.0689289501590669,4.04,414.255,414.53,409.93,410.66,4.04,Wednesday,5.78000000000003,8.920000000000016,0.2699999999999818,very_high,high,low,high,very_high,high,4
2023-02-09,1.0885608856088562,9.999999999999998,413.35,414.41,405.81,407.13,9.999999999999998,Thursday,-3.5949999999999704,4.599999999999966,5.78000000000003,very_high,very_high,high,low,high,very_high,2
2023-02-10,1.5569620253164556,1.11484593837535,405.83,408.44,405.01,408.03,1.5569620253164556,Friday,-6.220000000000027,8.600000000000023,-3.5949999999999704,average,very_high,very_high,high,low,high,0
2023-02-13,3.454545454545454,1.0229276895943562,409.21,412.97,409.0,412.82,3.454545454545454,Monday,2.1999999999999886,3.430000000000007,-6.220000000000027,high,average,very_high,very_high,high,low,1
2023-02-14,2.3506493506493507,1.5985663082437276,411.26,415.05,408.511,412.67,2.3506493506493507,Tuesday,3.6100000000000136,3.9700000000000273,2.1999999999999886,high,high,average,very_high,very_high,high,3
2023-02-15,1.868421052631579,1.368421052631579,411.0,414.0,409.47,413.99,1.868421052631579,Wednesday,1.410000000000025,6.538999999999987,3.6100000000000136,average,high,high,average,very_high,very_high,4
2023-02-16,2.6,1.1785714285714286,409.23,412.91,408.14,408.33,2.6,Thursday,2.990000000000009,4.529999999999973,1.410000000000025,high,average,high,high,average,very_high,2
2023-02-17,1.4169381107491856,1.2758620689655173,405.43,407.51,404.05,407.24,1.4169381107491856,Friday,-0.9000000000000341,4.770000000000039,2.990000000000009,low,high,average,high,high,average,0
2023-02-21,1.0,5.208333333333334,403.88,404.16,398.82,399.13,5.208333333333334,Tuesday,1.8100000000000023,3.4599999999999795,-0.9000000000000341,very_high,low,high,average,high,high,3
2023-02-22,1.216648879402348,1.8750000000000002,400.07,401.13,397.02,398.58,1.8750000000000002,Wednesday,-4.75,5.340000000000032,1.8100000000000023,average,very_high,low,high,average,high,4
2023-02-23,1.2976190476190477,6.866666666666667,401.07,402.2,396.25,400.65,6.866666666666667,Thursday,-1.490000000000009,4.110000000000014,-4.75,very_high,average,very_high,low,high,average,2
2023-02-24,1.6015936254980079,1.1228070175438598,394.8,397.25,393.64,396.39,1.6015936254980079,Friday,-0.4200000000000159,5.949999999999989,-1.490000000000009,average,very_high,average,very_high,low,high,0
2023-02-27,2.1724137931034484,1.6666666666666667,399.27,401.29,396.75,397.73,2.1724137931034484,Monday,1.589999999999975,3.6100000000000136,-0.4200000000000159,high,average,very_high,average,very_high,low,1
2023-02-28,1.5202702702702704,1.1848341232227488,397.41,399.28,396.18,396.2,1.5202702702702704,Tuesday,-1.5399999999999636,4.5400000000000205,1.589999999999975,average,high,average,very_high,average,very_high,3
2023-03-01,1.375,1.75,395.49,396.69,393.38,394.78,1.75,Wednesday,-1.2100000000000364,3.099999999999966,-1.5399999999999636,average,average,high,average,very_high,average,4
2023-03-02,9.818181818181818,1.0964285714285715,392.7,398.69,392.55,397.79,9.818181818181818,Thursday,-0.7100000000000364,3.3100000000000023,-1.2100000000000364,very_high,average,average,high,average,very_high,2
2023-03-03,5.552631578947368,1.0,399.49,404.45,399.03,404.14,5.552631578947368,Friday,5.090000000000032,6.139999999999986,-0.7100000000000364,very_high,very_high,average,average,high,average,0
2023-03-06,2.4615384615384617,1.5591397849462365,405.68,407.45,404.03,404.46,2.4615384615384617,Monday,4.649999999999977,5.420000000000016,5.090000000000032,high,very_high,very_high,average,average,high,1
2023-03-07,1.1940298507462686,5.571428571428571,404.14,404.67,397.625,398.26,5.571428571428571,Tuesday,-1.2200000000000273,3.420000000000016,4.649999999999977,very_high,high,very_high,very_high,average,average,3
2023-03-08,1.4848484848484849,1.3031496062992125,397.98,399.71,396.59,398.92,1.4848484848484849,Wednesday,-5.8799999999999955,7.045000000000016,-1.2200000000000273,low,very_high,high,very_high,very_high,average,4
2023-03-09,1.391304347826087,27.0952380952381,400.28,401.48,390.53,391.59,27.0952380952381,Thursday,0.9399999999999977,3.1200000000000045,-5.8799999999999955,very_high,low,very_high,high,very_high,very_high,2
2023-03-10,2.1315789473684212,1.9514563106796114,388.63,393.16,384.32,385.92,2.1315789473684212,Friday,-8.689999999999998,10.950000000000045,0.9399999999999977,high,very_high,low,very_high,high,very_high,0
2023-03-13,7.28,1.0,381.35,390.39,381.0886,385.29,7.28,Monday,-2.7099999999999795,8.840000000000032,-8.689999999999998,very_high,high,very_high,low,very_high,high,1
2023-03-14,1.4232804232804233,2.0437158469945356,391.07,393.45,387.05,391.69,2.0437158469945356,Tuesday,3.9399999999999977,9.301400000000001,-2.7099999999999795,high,very_high,high,very_high,low,very_high,3
2023-03-15,1.316872427983539,1.7301136363636362,387.48,389.49,383.71,389.35,1.7301136363636362,Wednesday,0.6200000000000045,6.399999999999977,3.9399999999999977,average,high,very_high,high,very_high,low,4
2023-03-16,10.904761904761905,1.1792318634423895,387.84,396.47,386.59,396.03,10.904761904761905,Thursday,1.8700000000000045,5.78000000000003,0.6200000000000045,very_high,average,high,very_high,high,very_high,2
