,volume,volume_weighted,open,close,high,low,timestamp,number of trades,time_converted
0,11723.0,3.5016,3.41,3.52,3.61,3.41,1672736400000,42,2023-01-03 04:00:00
1,4367.0,3.5113,3.52,3.5,3.52,3.5,1672737300000,19,2023-01-03 04:15:00
2,3985.0,3.4914,3.49,3.53,3.53,3.49,1672738200000,32,2023-01-03 04:30:00
3,8084.0,3.5313,3.53,3.54,3.54,3.53,1672739100000,15,2023-01-03 04:45:00
4,599.0,3.5224,3.53,3.52,3.53,3.52,1672740000000,6,2023-01-03 05:00:00
5,2868.0,3.5207,3.52,3.52,3.53,3.52,1672740900000,14,2023-01-03 05:15:00
6,2900.0,3.5083,3.51,3.51,3.51,3.5,1672741800000,12,2023-01-03 05:30:00
7,2005.0,3.5115,3.51,3.52,3.52,3.51,1672742700000,6,2023-01-03 05:45:00
8,849.0,3.5229,3.52,3.52,3.53,3.52,1672743600000,7,2023-01-03 06:00:00
9,550.0,3.5273,3.53,3.52,3.53,3.52,1672744500000,5,2023-01-03 06:15:00
10,300.0,3.52,3.52,3.52,3.52,3.52,1672745400000,2,2023-01-03 06:30:00
11,22964.0,3.4593,3.52,3.47,3.52,3.44,1672746300000,80,2023-01-03 06:45:00
12,14383.0,3.4909,3.5,3.47,3.54,3.45,1672747200000,71,2023-01-03 07:00:00
13,4281.0,3.4805,3.47,3.49,3.49,3.47,1672748100000,14,2023-01-03 07:15:00
14,3601.0,3.4639,3.46,3.46,3.47,3.46,1672749000000,47,2023-01-03 07:30:00
15,2860.0,3.4774,3.47,3.48,3.49,3.47,1672749900000,31,2023-01-03 07:45:00
16,82901.0,3.4708,3.48,3.47,3.54,3.45,1672750800000,152,2023-01-03 08:00:00
17,2131.0,3.4903,3.48,3.49,3.5,3.48,1672751700000,16,2023-01-03 08:15:00
18,16311.0,3.5066,3.5,3.5,3.52,3.5,1672752600000,59,2023-01-03 08:30:00
19,16648.0,3.5088,3.51,3.52,3.52,3.5,1672753500000,64,2023-01-03 08:45:00
20,9741.0,3.5115,3.51,3.52,3.52,3.5,1672754400000,67,2023-01-03 09:00:00
21,41778.0,3.55,3.52,3.55,3.6183,3.5,1672755300000,224,2023-01-03 09:15:00
22,1751894.0,3.6665,3.58,3.7346,3.77,3.5212,1672756200000,4686,2023-01-03 09:30:00
23,1066277.0,3.6679,3.74,3.61,3.765,3.5912,1672757100000,3781,2023-01-03 09:45:00
24,810987.0,3.5651,3.6,3.535,3.625,3.5221,1672758000000,2613,2023-01-03 10:00:00
25,365412.0,3.5081,3.5384,3.49,3.5384,3.48,1672758900000,1512,2023-01-03 10:15:00
26,488654.0,3.505,3.495,3.535,3.54,3.465,1672759800000,1537,2023-01-03 10:30:00
