,,,max_options_pct_change,max_options_pct_change,max_options_pct_change,max_options_pct_change,max_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,min_options_pct_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_max_change,time_of_min_change,time_of_min_change,time_of_min_change,time_of_min_change,time_of_min_change
DTE,,,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
date,day_name,day_classification,,,,,,,,,,,,,,,,,,,,
2023-01-03,Tuesday,high,11.9375,5.588235294117647,4.85,,,0.0034602076124567475,0.07692307692307693,0.14754098360655737,,,2023-01-03 13:15:00,2023-01-03 13:00:00,2023-01-03 13:15:00,,,2023-01-03 15:45:00,2023-01-03 14:30:00,2023-01-03 14:30:00,,
2023-01-04,Wednesday,average,2.705882352941176,3.6944444444444446,1.8620689655172415,,,0.011764705882352941,0.15,0.37931034482758624,,,2023-01-04 12:45:00,2023-01-04 10:00:00,2023-01-04 12:45:00,,,2023-01-04 15:45:00,2023-01-04 15:45:00,2023-01-04 15:45:00,,
2023-01-05,Thursday,very_low,1.411764705882353,1.284536082474227,,,1.2641196013289038,0.015873015873015872,0.368421052631579,,,0.5208333333333334,2023-01-05 14:45:00,2023-01-05 13:30:00,,,2023-01-05 14:45:00,2023-01-05 15:45:00,2023-01-05 14:45:00,,,2023-01-05 13:30:00
2023-01-06,Friday,very_high,16.315789473684212,,,7.46875,6.5,0.0019493177387914231,,,0.037037037037037035,0.08108108108108109,2023-01-06 15:15:00,,,2023-01-06 15:15:00,2023-01-06 15:15:00,2023-01-06 15:45:00,,,2023-01-06 15:45:00,2023-01-06 15:15:00
2023-01-09,Monday,average,2.7906976744186047,2.125,1.852941176470588,,,0.009174311926605503,0.1764705882352941,0.2631578947368421,,,2023-01-09 11:30:00,2023-01-09 11:30:00,2023-01-09 11:15:00,,,2023-01-09 15:45:00,2023-01-09 15:15:00,2023-01-09 15:30:00,,
2023-01-10,Tuesday,very_low,1.59375,1.4499999999999997,1.334928229665072,,,0.014814814814814814,0.16129032258064518,0.45333333333333337,,,2023-01-10 10:45:00,2023-01-10 10:45:00,2023-01-10 10:45:00,,,2023-01-10 15:45:00,2023-01-10 15:45:00,2023-01-10 15:45:00,,
2023-01-11,Wednesday,very_low,1.5357142857142858,1.3333333333333335,1.4626865671641789,,,0.008130081300813009,0.6153846153846154,0.7303370786516854,,,2023-01-11 11:00:00,2023-01-11 15:15:00,2023-01-11 15:45:00,,,2023-01-11 15:45:00,2023-01-11 15:15:00,2023-01-11 11:00:00,,
2023-01-12,Thursday,high,2.956521739130435,2.3780487804878048,,,,0.0078125,0.10784313725490197,,,,2023-01-12 14:00:00,2023-01-12 14:00:00,,,,2023-01-12 14:45:00,2023-01-12 13:15:00,,,
2023-01-13,Friday,high,4.722222222222222,,,,2.763888888888889,0.005025125628140704,,,,0.08695652173913045,2023-01-13 15:45:00,,,,2023-01-13 15:45:00,2023-01-13 15:15:00,,,,2023-01-13 15:45:00
2023-01-17,Tuesday,very_low,1.611111111111111,1.3673469387755104,1.345679012345679,,,0.011111111111111112,0.21739130434782608,0.40909090909090906,,,2023-01-17 10:30:00,2023-01-17 10:15:00,2023-01-17 10:15:00,,,2023-01-17 15:45:00,2023-01-17 15:45:00,2023-01-17 15:15:00,,
2023-01-18,Wednesday,high,16.57894736842105,10.125,6.294117647058823,,,0.0018726591760299626,0.02380952380952381,0.07042253521126761,,,2023-01-18 15:45:00,2023-01-18 15:45:00,2023-01-18 15:45:00,,,2023-01-18 15:45:00,2023-01-18 15:00:00,2023-01-18 15:45:00,,
2023-01-19,Thursday,very_low,1.565934065934066,1.5441176470588236,,,1.5555555555555558,0.01754385964912281,0.28,,,0.43478260869565216,2023-01-19 11:45:00,2023-01-19 11:45:00,,,2023-01-19 11:45:00,2023-01-19 15:30:00,2023-01-19 15:30:00,,,2023-01-19 15:30:00
2023-01-20,Friday,high,10.82608695652174,,,6.1875,5.352941176470588,0.003496503496503497,,,0.07692307692307691,0.15584415584415584,2023-01-20 15:15:00,,,2023-01-20 15:15:00,2023-01-20 15:15:00,2023-01-20 15:30:00,,,2023-01-20 15:45:00,2023-01-20 15:15:00
2023-01-23,Monday,high,15.687499999999998,8.157894736842106,7.222222222222222,,,0.010416666666666668,0.13978494623655913,0.25,,,2023-01-23 13:45:00,2023-01-23 13:45:00,2023-01-23 13:45:00,,,2023-01-23 15:45:00,2023-01-23 13:45:00,2023-01-23 13:45:00,,
2023-01-24,Tuesday,average,1.569767441860465,1.5499999999999998,1.5714285714285714,,,0.011904761904761906,0.2380952380952381,0.38,,,2023-01-24 13:45:00,2023-01-24 11:00:00,2023-01-24 11:30:00,,,2023-01-24 15:30:00,2023-01-24 15:00:00,2023-01-24 15:00:00,,
2023-01-25,Wednesday,high,3.548387096774194,2.9714285714285715,2.4857142857142858,,,0.005263157894736843,0.17857142857142858,0.2758620689655173,,,2023-01-25 15:15:00,2023-01-25 15:15:00,2023-01-25 15:15:00,,,2023-01-25 15:45:00,2023-01-25 15:00:00,2023-01-25 14:15:00,,
2023-01-26,Thursday,average,2.018867924528302,1.712121212121212,,,1.65,0.012658227848101266,0.2916666666666667,,,0.3529411764705882,2023-01-26 11:00:00,2023-01-26 11:00:00,,,2023-01-26 11:00:00,2023-01-26 15:45:00,2023-01-26 11:00:00,,,2023-01-26 11:00:00
2023-01-27,Friday,average_high,2.4761904761904763,,,2.466666666666667,2.1612903225806455,0.011494252873563218,,,0.1875,0.32323232323232326,2023-01-27 15:30:00,,,2023-01-27 15:30:00,2023-01-27 15:30:00,2023-01-27 15:30:00,,,2023-01-27 15:45:00,2023-01-27 15:30:00
2023-01-30,Monday,average,2.173076923076923,2.0,2.022222222222222,,,0.008403361344537816,0.11764705882352941,0.3939393939393939,,,2023-01-30 15:30:00,2023-01-30 15:30:00,2023-01-30 15:30:00,,,2023-01-30 15:30:00,2023-01-30 15:30:00,2023-01-30 15:30:00,,
2023-01-31,Tuesday,average_high,2.6056338028169015,1.4383561643835618,1.5952380952380953,,,0.005813953488372093,0.13636363636363635,0.2833333333333334,,,2023-01-31 15:45:00,2023-01-31 15:45:00,2023-01-31 15:45:00,,,2023-01-31 15:45:00,2023-01-31 14:30:00,2023-01-31 15:45:00,,
2023-02-01,Wednesday,high,3.0840336134453783,2.3141361256544504,2.179856115107914,,,0.0023529411764705885,0.05172413793103448,0.11333333333333334,,,2023-02-01 15:45:00,2023-02-01 15:45:00,2023-02-01 15:45:00,,,2023-02-01 15:45:00,2023-02-01 15:45:00,2023-02-01 15:45:00,,
2023-02-02,Thursday,high,4.48,3.5882352941176467,,,3.5909090909090913,0.04918032786885246,0.26666666666666666,,,0.37500000000000006,2023-02-02 14:00:00,2023-02-02 14:00:00,,,2023-02-02 14:00:00,2023-02-02 14:00:00,2023-02-02 14:00:00,,,2023-02-02 14:00:00
2023-02-03,Friday,average,2.92,,,2.9523809523809526,2.685714285714286,0.01,,,0.1875,0.39999999999999997,2023-02-03 10:45:00,,,2023-02-03 10:45:00,2023-02-03 10:45:00,2023-02-03 15:45:00,,,2023-02-03 15:15:00,2023-02-03 15:45:00
2023-02-06,Monday,very_low,1.4608695652173913,1.3893805309734515,1.4142857142857144,,,0.019230769230769232,0.35000000000000003,0.47368421052631576,,,2023-02-06 11:30:00,2023-02-06 11:30:00,2023-02-06 10:30:00,,,2023-02-06 15:45:00,2023-02-06 15:30:00,2023-02-06 15:30:00,,
2023-02-07,Tuesday,high,3.612903225806452,3.529411764705882,3.1176470588235294,,,0.0026595744680851068,0.05102040816326531,0.11009174311926605,,,2023-02-07 13:00:00,2023-02-07 13:00:00,2023-02-07 13:00:00,,,2023-02-07 15:45:00,2023-02-07 15:45:00,2023-02-07 15:45:00,,
2023-02-08,Wednesday,average_high,4.04,3.2380952380952386,2.7647058823529407,,,0.006369426751592356,0.04761904761904762,0.13636363636363635,,,2023-02-08 11:45:00,2023-02-08 11:45:00,2023-02-08 11:45:00,,,2023-02-08 15:15:00,2023-02-08 15:45:00,2023-02-08 15:30:00,,
2023-02-09,Thursday,high,9.999999999999998,5.428571428571428,,,4.428571428571428,0.002747252747252747,0.038461538461538464,,,0.09259259259259259,2023-02-09 15:30:00,2023-02-09 15:30:00,,,2023-02-09 15:30:00,2023-02-09 15:30:00,2023-02-09 15:15:00,,,2023-02-09 15:45:00
2023-02-10,Friday,very_low,1.5569620253164556,,,1.4776119402985073,1.209125475285171,0.007692307692307692,,,0.18965517241379312,0.43157894736842106,2023-02-10 10:30:00,,,2023-02-10 10:30:00,2023-02-10 10:15:00,2023-02-10 15:45:00,,,2023-02-10 15:45:00,2023-02-10 15:45:00
