,volume,volume_weighted,open,close,high,low,timestamp,number of trades,time_converted
0,62206.0,269.0444,268.8,269.33,269.4,268.0,1672736400000,462,2023-01-03 04:00:00
1,21480.0,269.406,269.4,269.31,269.61,269.19,1672737300000,228,2023-01-03 04:15:00
2,17894.0,269.5187,269.37,269.63,269.74,269.35,1672738200000,151,2023-01-03 04:30:00
3,15900.0,269.6647,269.66,269.79,269.79,269.53,1672739100000,141,2023-01-03 04:45:00
4,12415.0,269.4675,269.82,269.24,269.86,269.24,1672740000000,125,2023-01-03 05:00:00
5,30184.0,269.1105,269.28,268.94,269.39,268.74,1672740900000,177,2023-01-03 05:15:00
6,7719.0,269.0447,268.93,269.22,269.22,268.83,1672741800000,55,2023-01-03 05:30:00
7,22140.0,269.2639,269.19,269.26,269.46,269.15,1672742700000,122,2023-01-03 05:45:00
8,12415.0,269.0736,269.23,268.84,269.35,268.8,1672743600000,145,2023-01-03 06:00:00
9,8801.0,268.8711,268.83,268.88,268.95,268.8,1672744500000,99,2023-01-03 06:15:00
10,51376.0,268.2425,268.91,267.5,268.97,267.45,1672745400000,291,2023-01-03 06:30:00
11,120080.0,267.5285,267.5,267.66,267.8,267.12,1672746300000,572,2023-01-03 06:45:00
12,76598.0,267.3301,267.69,267.54,267.69,267.09,1672747200000,564,2023-01-03 07:00:00
13,64420.0,267.7771,267.62,267.81,268.0,267.47,1672748100000,510,2023-01-03 07:15:00
14,34201.0,268.1606,267.82,268.26,268.36,267.82,1672749000000,525,2023-01-03 07:30:00
15,64309.0,268.0265,268.27,268.1,268.3,267.73,1672749900000,586,2023-01-03 07:45:00
16,332507.0,267.9603,267.775,267.86,269.5504,266.65,1672750800000,1990,2023-01-03 08:00:00
17,146531.0,268.1786,267.83,268.09,268.59,267.79,1672751700000,911,2023-01-03 08:15:00
18,83797.0,268.2636,268.0,268.42,268.51,267.92,1672752600000,592,2023-01-03 08:30:00
19,77631.0,268.6208,268.45,268.61,268.82,268.45,1672753500000,762,2023-01-03 08:45:00
20,90908.0,268.6806,268.58,269.02,269.05,268.35,1672754400000,838,2023-01-03 09:00:00
21,155977.0,268.9363,269.02,268.67,269.15,268.66,1672755300000,1000,2023-01-03 09:15:00
22,3393054.0,268.9185,268.65,269.1005,270.155,267.56,1672756200000,31771,2023-01-03 09:30:00
23,3114078.0,267.2468,269.12,265.6579,269.352,265.59,1672757100000,26770,2023-01-03 09:45:00
24,2413203.0,265.5219,265.66,264.74,266.2,264.53,1672758000000,19712,2023-01-03 10:00:00
25,1294171.0,264.4658,264.76,264.58,264.99,264.02,1672758900000,14126,2023-01-03 10:15:00
26,1262009.0,264.2373,264.56,264.25,264.78,263.73,1672759800000,13490,2023-01-03 10:30:00
27,1216207.0,264.6903,264.27,265.21,265.3,264.13,1672760700000,13999,2023-01-03 10:45:00
28,1368011.0,264.3878,265.23,263.37,265.498,263.21,1672761600000,14837,2023-01-03 11:00:00
29,1344192.0,263.6354,263.3901,263.785,264.11,263.23,1672762500000,11491,2023-01-03 11:15:00
30,1887326.0,263.1533,263.79,262.87,263.8,262.74,1672763400000,13364,2023-01-03 11:30:00
31,1043132.0,262.7897,262.89,262.81,263.04,262.44,1672764300000,13069,2023-01-03 11:45:00
32,938534.0,263.0303,262.8,263.23,263.36,262.63,1672765200000,11226,2023-01-03 12:00:00
33,946722.0,262.8207,263.265,262.8201,263.265,262.31,1672766100000,9997,2023-01-03 12:15:00
34,733240.0,263.1976,262.85,262.93,263.64,262.79,1672767000000,9141,2023-01-03 12:30:00
35,910466.0,262.5203,262.9,262.75,262.98,262.13,1672767900000,9383,2023-01-03 12:45:00
36,568665.0,262.6887,262.755,262.5284,262.975,262.4,1672768800000,7106,2023-01-03 13:00:00
37,729498.0,262.9352,262.51,263.44,263.6,262.31,1672769700000,9173,2023-01-03 13:15:00
38,1702715.0,263.3972,263.47,263.42,263.69,263.18,1672770600000,7885,2023-01-03 13:30:00
39,678471.0,263.5135,263.42,263.82,263.94,263.05,1672771500000,7698,2023-01-03 13:45:00
40,1244147.0,265.0027,263.81,263.61,264.16,263.31,1672772400000,8734,2023-01-03 14:00:00
41,837420.0,264.2424,263.6,263.54,263.9,263.28,1672773300000,6714,2023-01-03 14:15:00
42,878498.0,263.2573,263.55,263.9047,263.92,262.7604,1672774200000,10004,2023-01-03 14:30:00
43,1717465.0,264.5243,263.9,264.35,264.98,263.84,1672775100000,15893,2023-01-03 14:45:00
44,1196250.0,264.4376,264.36,264.7282,264.8385,264.12,1672776000000,11115,2023-01-03 15:00:00
45,1389359.0,264.6803,264.75,264.4702,265.2,264.16,1672776900000,13034,2023-01-03 15:15:00
46,1602667.0,265.1124,264.48,264.41,264.99,264.27,1672777800000,13376,2023-01-03 15:30:00
47,2747763.0,264.4922,264.42,264.46,264.83,264.23,1672778700000,19503,2023-01-03 15:45:00
48,1774623.0,264.8675,264.45,264.15,264.52,263.94,1672779600000,1376,2023-01-03 16:00:00
49,838205.0,264.3093,264.15,264.4,264.48,264.15,1672780500000,380,2023-01-03 16:15:00
50,151567.0,264.4466,264.38,264.31,264.48,264.25,1672781400000,140,2023-01-03 16:30:00
51,31746.0,264.3909,264.26,264.42,264.55,264.25,1672782300000,178,2023-01-03 16:45:00
52,98543.0,264.4658,264.49,264.4,264.5,264.276,1672783200000,169,2023-01-03 17:00:00
53,1999.0,264.3929,264.4,264.39,264.43,264.3504,1672784100000,29,2023-01-03 17:15:00
54,2190.0,264.3688,264.37,264.4,264.41,264.35,1672785000000,30,2023-01-03 17:30:00
55,7087.0,264.3284,264.4,264.3,264.4,264.3,1672785900000,53,2023-01-03 17:45:00
56,21482.0,264.2004,264.35,264.3,264.36,264.01,1672786800000,146,2023-01-03 18:00:00
57,14013.0,264.4381,264.33,264.47,264.48,264.33,1672787700000,75,2023-01-03 18:15:00
58,17696.0,264.4332,264.47,264.48,264.51,264.31,1672788600000,89,2023-01-03 18:30:00
59,10654.0,264.5502,264.48,264.6,264.6,264.46,1672789500000,97,2023-01-03 18:45:00
60,16521.0,264.6372,264.58,264.65,264.67,264.58,1672790400000,116,2023-01-03 19:00:00
61,11990.0,264.7966,264.64,264.89,264.89,264.61,1672791300000,133,2023-01-03 19:15:00
62,16628.0,264.7291,264.88,264.64,264.91,264.57,1672792200000,93,2023-01-03 19:30:00
63,21089.0,264.6748,264.61,264.64,264.75,264.59,1672793100000,123,2023-01-03 19:45:00
64,22202.0,266.168,266.33,266.2,266.43,265.07,1672822800000,254,2023-01-04 04:00:00
65,10234.0,266.1292,266.15,266.01,266.24,265.98,1672823700000,81,2023-01-04 04:15:00
66,10314.0,265.9634,265.82,266.03,266.15,265.76,1672824600000,114,2023-01-04 04:30:00
67,23370.0,266.0305,266.03,265.97,266.24,265.93,1672825500000,129,2023-01-04 04:45:00
68,10812.0,266.2785,266.05,266.36,266.43,266.05,1672826400000,83,2023-01-04 05:00:00
69,1608.0,266.2619,266.34,266.25,266.34,266.19,1672827300000,23,2023-01-04 05:15:00
70,17938.0,265.6523,266.33,265.44,266.33,265.24,1672828200000,161,2023-01-04 05:30:00
71,25870.0,265.7063,265.47,265.69,265.76,265.42,1672829100000,98,2023-01-04 05:45:00
72,4467.0,266.0574,265.77,266.25,266.28,265.77,1672830000000,81,2023-01-04 06:00:00
73,7742.0,266.2474,266.34,266.05,266.34,266.05,1672830900000,60,2023-01-04 06:15:00
74,11488.0,266.3728,266.1,266.36,266.55,266.1,1672831800000,122,2023-01-04 06:30:00
75,12132.0,266.3801,266.39,266.15,266.54,266.09,1672832700000,99,2023-01-04 06:45:00
76,83238.0,265.9173,266.1,265.98,266.15,265.63,1672833600000,566,2023-01-04 07:00:00
77,50221.0,265.8389,266.0,265.7,266.04,265.66,1672834500000,385,2023-01-04 07:15:00
